RULE ID,SECURITY GROUP NAME,FROM PORT,TO PORT,PROTOCOL,TO SECURITY GROUP,FROM TYPE,DESCRIPTION,DIRECTION,Notes
195,Mgt_PrivacyIdea,3306,3306,tcp,Mgt_MySQL,Group,Mgt_PrivacyIdea to Mgt_MySQL,Ingress,
196,Mgt_RDGW,5985,5985,tcp,Mgt_RDLic,Group,Mgt_RDGW to Mgt_RDLic,Ingress,
197,Mgt_RDGW,5986,5986,tcp,Mgt_RDLic,Group,Mgt_RDGW to Mgt_RDLic,Ingress,
198,Mgt_RDGW,3389,3389,tcp,Mgt_RDSH,Group,Mgt_RDGW to Mgt_RDSH,Ingress,
199,Mgt_RDGW,3389,3389,udp,Mgt_RDSH,Group,Mgt_RDGW to Mgt_RDSH,Ingress,
200,Mgt_RDGW,5985,5985,tcp,Mgt_RDSH,Group,Mgt_RDGW to Mgt_RDSH,Traversal,
201,Mgt_RDGW,5986,5986,tcp,Mgt_RDSH,Group,Mgt_RDGW to Mgt_RDSH,Traversal,
202,Mgt_RDGW,80,80,tcp,Mgt_RDSH,Group,Mgt_RDGW to Mgt_RDSH,Ingress,
203,Mgt_RDGW,443,443,tcp,Mgt_RDSH,Group,Mgt_RDGW to Mgt_RDSH,Ingress,
204,Mgt_RDSH,3389,3389,udp,AppD_Windows_Instances,Group,Mgt_RDSH to AppD_Windows_Instances,Traversal,
205,Mgt_RDSH,5601,5601,tcp,Mgt_EnterpriseALB-05,Group,Mgt_RDSH to Mgt_EnterpriseALB-05,Traversal,
206,Mgt_EnterpriseALB-05,5601,5601,tcp,Mgt_Kibana,Group,Mgt_EnterpriseALB-05 to Mgt_Kibana,Traversal,
207,Mgt_RDSH,443,443,tcp,Mgt_EnterpriseALB-05,Group,Mgt_RDSH to Mgt_EnterpriseALB-05,Traversal,
208,Mgt_RDSH,5555,5555,tcp,Mgt_EnterpriseALB-05,Group,Mgt_RDSH to Mgt_EnterpriseALB-05,Traversal,
209,Mgt_EnterpriseALB-05,5555,5555,tcp,Mgt_Scout,Group,Mgt_EnterpriseALB-05 to Mgt_Scout,Traversal,
210,Mgt_RDSH,5985,5985,tcp,Mgt_RDGW,Group,Mgt_RDSH to Mgt_RDGW,Traversal,
211,Mgt_RDSH,5986,5986,tcp,Mgt_RDGW,Group,Mgt_RDSH to Mgt_RDGW,Traversal,
212,Mgt_RDSH,135,135,tcp,Mgt_RDLic,Group,Mgt_RDSH to Mgt_RDLic,Traversal,
213,Mgt_RDSH,80,80,tcp,Mgt_ToolingALB-06,Group,Mgt_RDSH to Mgt_ToolingALB-06,Traversal,
214,Mgt_RDSH,3389,3389,udp,Mgt_Windows_Instances,Group,Mgt_RDSH to Mgt_Windows_Instances,Traversal,
215,Mgt_RDSH,3389,3389,udp,dmz_Windows_Instances,Group,Mgt_RDSH to dmz_Windows_Instances,Traversal,
216,Mgt_RevProxy,8081,8081,tcp,Mgt_ToolingALB-06,Group,Mgt_RevProxy to Mgt_ToolingALB-06,Traversal,
217,Mgt_ToolingALB-06,8081,8081,tcp,Mgt_Artifactory,Group,Mgt_ToolingALB-06 to Mgt_Artifactory,Traversal,
218,Mgt_RevProxy,80,80,tcp,Mgt_ToolingALB-06,Group,Mgt_RevProxy to Mgt_ToolingALB-06,Traversal,
219,Mgt_RevProxy,5601,5601,tcp,Mgt_EnterpriseALB-05,Group,Mgt_RevProxy to Mgt_EnterpriseALB-05,Traversal,
220,Mgt_RevProxy,443,443,tcp,Mgt_EnterpriseALB-05,Group,Mgt_RevProxy to Mgt_EnterpriseALB-05,Traversal,
221,Mgt_EnterpriseALB-05,443,443,tcp,Mgt_Kibana,Group,Mgt_EnterpriseALB-05 to Mgt_Kibana,Traversal,
222,Mgt_EnterpriseALB-05,443,443,tcp,Mgt_Scout,Group,Mgt_EnterpriseALB-05 to Mgt_Scout,Traversal,
223,Mgt_RHEL_Instances,53,53,tcp,Active Directory,Group,Mgt_RHEL_Instances to Active Directory,Traversal,
224,Mgt_RHEL_Instances,88,88,tcp,Active Directory,Group,Mgt_RHEL_Instances to Active Directory,Traversal,
225,Mgt_RHEL_Instances,135,135,tcp,Active Directory,Group,Mgt_RHEL_Instances to Active Directory,Traversal,
226,Mgt_RHEL_Instances,389,389,tcp,Active Directory,Group,Mgt_RHEL_Instances to Active Directory,Traversal,
227,Mgt_RHEL_Instances,445,445,tcp,Active Directory,Group,Mgt_RHEL_Instances to Active Directory,Traversal,
228,Mgt_RHEL_Instances,464,464,tcp,Active Directory,Group,Mgt_RHEL_Instances to Active Directory,Traversal,
229,Mgt_RHEL_Instances,636,636,tcp,Active Directory,Group,Mgt_RHEL_Instances to Active Directory,Traversal,
230,Mgt_RHEL_Instances,1024,65535,tcp,Active Directory,Group,Mgt_RHEL_Instances to Active Directory,Traversal,
231,Mgt_RHEL_Instances,3268,3269,tcp,Active Directory,Group,Mgt_RHEL_Instances to Active Directory,Traversal,
232,Mgt_RHEL_Instances,53,53,udp,Active Directory,Group,Mgt_RHEL_Instances to Active Directory,Traversal,
233,Mgt_RHEL_Instances,88,88,udp,Active Directory,Group,Mgt_RHEL_Instances to Active Directory,Traversal,
234,Mgt_RHEL_Instances,123,123,udp,Active Directory,Group,Mgt_RHEL_Instances to Active Directory,Traversal,
235,Mgt_RHEL_Instances,138,138,udp,Active Directory,Group,Mgt_RHEL_Instances to Active Directory,Traversal,
236,Mgt_RHEL_Instances,389,389,udp,Active Directory,Group,Mgt_RHEL_Instances to Active Directory,Traversal,
237,Mgt_RHEL_Instances,445,445,udp,Active Directory,Group,Mgt_RHEL_Instances to Active Directory,Traversal,
238,Mgt_RHEL_Instances,464,464,udp,Active Directory,Group,Mgt_RHEL_Instances to Active Directory,Traversal,
239,Mgt_RHEL_Instances,443,443,tcp,Mgt_Private_Link,Group,Mgt_RHEL_Instances to Mgt_Private_Link,Traversal,
240,Mgt_RHEL_Instances,4122,4122,tcp,Mgt_Trend,Group,Mgt_RHEL_Instances to Mgt_Trend,Traversal,
241,Mgt_RHEL_Instances,80,80,tcp,Mgt_ToolingALB-06,Group,Mgt_RHEL_Instances to Mgt_ToolingALB-06,Traversal,
242,Mgt_RHEL_Instances,443,443,tcp,Mgt_EnterpriseALB-05,Group,Mgt_RHEL_Instances to Mgt_EnterpriseALB-05,Traversal,
243,Mgt_RHEL_Instances,8081,8081,tcp,Mgt_ToolingALB-06,Group,Mgt_RHEL_Instances to Mgt_ToolingALB-06,Traversal,
244,Mgt_Windows_Instances,53,53,tcp,Active Directory,Group,Mgt_Windows_Instances to Active Directory,Traversal,
245,Mgt_Windows_Instances,88,88,tcp,Active Directory,Group,Mgt_Windows_Instances to Active Directory,Traversal,
246,Mgt_Windows_Instances,135,135,tcp,Active Directory,Group,Mgt_Windows_Instances to Active Directory,Traversal,
247,Mgt_Windows_Instances,389,389,tcp,Active Directory,Group,Mgt_Windows_Instances to Active Directory,Traversal,
248,Mgt_Windows_Instances,445,445,tcp,Active Directory,Group,Mgt_Windows_Instances to Active Directory,Traversal,
249,Mgt_Windows_Instances,464,464,tcp,Active Directory,Group,Mgt_Windows_Instances to Active Directory,Traversal,
250,Mgt_Windows_Instances,636,636,tcp,Active Directory,Group,Mgt_Windows_Instances to Active Directory,Traversal,
251,Mgt_Windows_Instances,1024,65535,tcp,Active Directory,Group,Mgt_Windows_Instances to Active Directory,Traversal,
252,Mgt_Windows_Instances,3268,3269,tcp,Active Directory,Group,Mgt_Windows_Instances to Active Directory,Traversal,
253,Mgt_Windows_Instances,53,53,udp,Active Directory,Group,Mgt_Windows_Instances to Active Directory,Traversal,
254,Mgt_Windows_Instances,88,88,udp,Active Directory,Group,Mgt_Windows_Instances to Active Directory,Traversal,
255,Mgt_Windows_Instances,123,123,udp,Active Directory,Group,Mgt_Windows_Instances to Active Directory,Traversal,
256,Mgt_Windows_Instances,138,138,udp,Active Directory,Group,Mgt_Windows_Instances to Active Directory,Traversal,
257,Mgt_Windows_Instances,389,389,udp,Active Directory,Group,Mgt_Windows_Instances to Active Directory,Traversal,
258,Mgt_Windows_Instances,445,445,udp,Active Directory,Group,Mgt_Windows_Instances to Active Directory,Traversal,
259,Mgt_Windows_Instances,464,464,udp,Active Directory,Group,Mgt_Windows_Instances to Active Directory,Traversal,
260,Mgt_Windows_Instances,443,443,tcp,Mgt_Private_Link,Group,Mgt_Windows_Instances to Mgt_Private_Link,Traversal,
261,Mgt_Windows_Instances,4122,4122,tcp,Mgt_Trend,Group,Mgt_Windows_Instances to Mgt_Trend,Traversal,
262,Mgt_Windows_Instances,80,80,tcp,Mgt_ToolingALB-06,Group,Mgt_Windows_Instances to Mgt_ToolingALB-06,Traversal,
263,Mgt_Windows_Instances,443,443,tcp,Mgt_EnterpriseALB-05,Group,Mgt_Windows_Instances to Mgt_EnterpriseALB-05,Traversal,
264,Mgt_Windows_Instances,8081,8081,tcp,Mgt_ToolingALB-06,Group,Mgt_Windows_Instances to Mgt_ToolingALB-06,Traversal,
265,dmz_RHEL_Instances,53,53,tcp,Active Directory,Group,dmz_RHEL_Instances to Active Directory,Traversal,
266,dmz_RHEL_Instances,88,88,tcp,Active Directory,Group,dmz_RHEL_Instances to Active Directory,Traversal,
267,dmz_RHEL_Instances,135,135,tcp,Active Directory,Group,dmz_RHEL_Instances to Active Directory,Traversal,
268,dmz_RHEL_Instances,389,389,tcp,Active Directory,Group,dmz_RHEL_Instances to Active Directory,Traversal,
269,dmz_RHEL_Instances,445,445,tcp,Active Directory,Group,dmz_RHEL_Instances to Active Directory,Traversal,
270,dmz_RHEL_Instances,464,464,tcp,Active Directory,Group,dmz_RHEL_Instances to Active Directory,Traversal,
271,dmz_RHEL_Instances,636,636,tcp,Active Directory,Group,dmz_RHEL_Instances to Active Directory,Traversal,
272,dmz_RHEL_Instances,1024,65535,tcp,Active Directory,Group,dmz_RHEL_Instances to Active Directory,Traversal,
273,dmz_RHEL_Instances,3268,3269,tcp,Active Directory,Group,dmz_RHEL_Instances to Active Directory,Traversal,
274,dmz_RHEL_Instances,53,53,udp,Active Directory,Group,dmz_RHEL_Instances to Active Directory,Traversal,
275,dmz_RHEL_Instances,88,88,udp,Active Directory,Group,dmz_RHEL_Instances to Active Directory,Traversal,
276,dmz_RHEL_Instances,123,123,udp,Active Directory,Group,dmz_RHEL_Instances to Active Directory,Traversal,
277,dmz_RHEL_Instances,138,138,udp,Active Directory,Group,dmz_RHEL_Instances to Active Directory,Traversal,
278,dmz_RHEL_Instances,389,389,udp,Active Directory,Group,dmz_RHEL_Instances to Active Directory,Traversal,
279,dmz_RHEL_Instances,445,445,udp,Active Directory,Group,dmz_RHEL_Instances to Active Directory,Traversal,
280,dmz_RHEL_Instances,464,464,udp,Active Directory,Group,dmz_RHEL_Instances to Active Directory,Traversal,
281,dmz_RHEL_Instances,443,443,tcp,dmz_Private_Link,Group,dmz_RHEL_Instances to dmz_Private_Link,Traversal,
282,dmz_RHEL_Instances,4122,4122,tcp,Mgt_Trend,Group,dmz_RHEL_Instances to Mgt_Trend,Traversal,
283,dmz_RHEL_Instances,80,80,tcp,Mgt_ToolingALB-06,Group,dmz_RHEL_Instances to Mgt_ToolingALB-06,Traversal,
284,dmz_RHEL_Instances,443,443,tcp,Mgt_EnterpriseALB-05,Group,dmz_RHEL_Instances to Mgt_EnterpriseALB-05,Traversal,
