RULE ID,SECURITY GROUP NAME,FROM PORT,TO PORT,PROTOCOL,FROM REFERENCE,FROM TYPE,DESCRIPTION,DIRECTION,Notes
77,dmz_RHEL_Instances,22,22,tcp,Mgt_AWX,Group,Mgt_AWX to connect via 22 to dmz_RHEL_Instances,Traversal,
78,AppD_RHEL_Instances,22,22,tcp,Mgt_JumpSvr,Group,Mgt_JumpSvr to connect via 22 to AppD_RHEL_Instances,Ingress,
79,Mgt_RHEL_Instances,22,22,tcp,Mgt_JumpSvr,Group,Mgt_JumpSvr to connect via 22 to Mgt_RHEL_Instances,Ingress,
80,dmz_RHEL_Instances,22,22,tcp,Mgt_JumpSvr,Group,Mgt_JumpSvr to connect via 22 to dmz_RHEL_Instances,Ingress,
81,Mgt_RDSH,3389,3389,tcp,Mgt_RDGW,Group,Mgt_RDGW to connect via 3389 to Mgt_RDSH,Ingress,
82,Mgt_RDSH,3389,3389,udp,Mgt_RDGW,Group,Mgt_RDGW to connect via 3389 to Mgt_RDSH,Ingress,
83,Mgt_RDSH,5985,5985,tcp,Mgt_RDGW,Group,Mgt_RDGW to connect via 5985 to Mgt_RDSH,Ingress,
84,Mgt_RDSH,5986,5986,tcp,Mgt_RDGW,Group,Mgt_RDGW to connect via 5986 to Mgt_RDSH,Ingress,
85,Mgt_RDLic,5985,5985,tcp,Mgt_RDGW,Group,Mgt_RDGW to connect via 5985 to Mgt_RDLic,Ingress,
86,Mgt_RDLic,5986,5986,tcp,Mgt_RDGW,Group,Mgt_RDGW to connect via 5986 to Mgt_RDLic,Ingress,
87,Mgt_RDLic,135,135,tcp,Mgt_RDSH,Group,Mgt_RDSH to connect via 135 to Mgt_RDLic,Ingress,
88,Mgt_RDGW,5985,5985,tcp,Mgt_RDSH,Group,Mgt_RDSH to connect via 5985 to Mgt_RDGW,Ingress,
89,Mgt_RDGW,5986,5986,tcp,Mgt_RDSH,Group,Mgt_RDSH to connect via 5986 to Mgt_RDGW,Ingress,
90,AppD_Windows_Instances,3389,3389,tcp,Mgt_RDSH,Group,Mgt_RDSH to connect via 3389 to AppD_Windows_Instances,Ingress,
91,AppD_Windows_Instances,3389,3389,udp,Mgt_RDSH,Group,Mgt_RDSH to connect via 3389 to AppD_Windows_Instances,Ingress,
92,dmz_Windows_Instances,3389,3389,tcp,Mgt_RDSH,Group,Mgt_RDSH to connect via 3389 to dmz_Windows_Instances,Ingress,
93,dmz_Windows_Instances,3389,3389,udp,Mgt_RDSH,Group,Mgt_RDSH to connect via 3389 to dmz_Windows_Instances,Ingress,
94,Mgt_Windows_Instances,3389,3389,tcp,Mgt_RDSH,Group,Mgt_RDSH to connect via 3389 to Mgt_Windows_Instances,Ingress,
95,Mgt_Windows_Instances,3389,3389,udp,Mgt_RDSH,Group,Mgt_RDSH to connect via 3389 to Mgt_Windows_Instances,Ingress,
96,Mgt_BndrySvcALB-16,443,443,tcp,Mgt_S2SVPN,Group,Mgt_S2SVPN to connect via 443 to Mgt_BndrySvcALB-16,Ingress,
97,Mgt_RDGW,80,80,tcp,Mgt_S2SVPN,Group,Mgt_S2SVPN to connect via 80 to Mgt_RDGW,Ingress,
98,Mgt_RDGW,3391,3391,udp,Mgt_S2SVPN,Group,Mgt_S2SVPN to connect via 3391 to Mgt_RDGW,Ingress,
99,Mgt_RDSH,5985,5985,tcp,Mgt_C2SVPN,Group,Mgt_C2SVPN to connect via 5985 to Mgt_RDSH,Ingress,
100,Mgt_RDSH,5986,5986,tcp,Mgt_C2SVPN,Group,Mgt_C2SVPN to connect via 5986 to Mgt_RDSH,Ingress,
101,Mgt_BndrySvcALB-07,443,443,tcp,Mgt_S2SVPN,Group,Mgt_S2SVPN to connect via 443 to Mgt_BndrySvcALB-07,Ingress,
102,Mgt_BndrySvcALB-07,80,80,tcp,Mgt_S2SVPN,Group,Mgt_S2SVPN to connect via 80 to Mgt_BndrySvcALB-07,Ingress,
103,Mgt_BndrySvcALB-07,8081,8081,tcp,Mgt_S2SVPN,Group,Mgt_S2SVPN to connect via 8081 to Mgt_BndrySvcALB-07,Ingress,
104,dmz_S2SVPN,4500,4500,udp,192.168.223.26/32,CIDR,192.168.223.26/32 to connect via 4500 to dmz_S2SVPN,Traversal,SG DNS
105,dmz_S2SVPN,500,500,udp,192.168.223.26/32,CIDR,192.168.223.26/32 to connect via 500 to dmz_S2SVPN,Traversal,SG DNS
106,Mgt_PostgreSQL,5432,5432,tcp,Mgt_AWX,Group,Mgt_AWX to connect via 5432 to Mgt_PostgreSQL,Traversal,
107,Mgt_EnterpriseALB-05,5601,5601,tcp,Mgt_RevProxy,Group,Mgt_RevProxy to connect via 5601 to Mgt_EnterpriseALB-05,Traversal,
108,Mgt_Kibana,5601,5601,tcp,Mgt_EnterpriseALB-05,Group,Mgt_EnterpriseALB-05 to connect via 5601 to Mgt_Kibana,Traversal,
109,Mgt_EnterpriseALB-05,5555,5555,tcp,Mgt_RevProxy,Group,Mgt_RevProxy to connect via 5555 to Mgt_EnterpriseALB-05,Traversal,
110,Mgt_Scout,5555,5555,tcp,Mgt_EnterpriseALB-05,Group,Mgt_EnterpriseALB-05 to connect via 5555 to Mgt_Scout,Traversal,
111,Mgt_PrivacyIdea,443,443,tcp,Mgt_EnterpriseALB-05,Group,Mgt_EnterpriseALB-05 to connect via 443 to Mgt_PrivacyIdea,Traversal,
112,Mgt_EnterpriseALB-05,443,443,tcp,Mgt_RevProxy,Group,Mgt_RevProxy to connect via 443 to Mgt_EnterpriseALB-05,Traversal,
113,Mgt_ESearch,9200,9400,tcp,Mgt_ESearch,Group,Mgt_ESearch to connect via 9200 to Mgt_ESearch,Traversal,
114,Mgt_ESearch,9200,9400,tcp,Mgt_Kibana,Group,Mgt_Kibana to connect via 9200 to Mgt_ESearch,Traversal,
115,Mgt_ESearch,9200,9400,tcp,Mgt_Logstash,Group,Mgt_Logstash to connect via 9200 to Mgt_ESearch,Traversal,
116,Mgt_Logstash,5040,5060,tcp,AppD_Windows_instances,Group,AppD_Windows_instances to connect via 5044 to Mgt_Logstash,Traversal,
117,Mgt_Logstash,5040,5060,tcp,AppD_RHEL_instances,Group,AppD_RHEL_instances to connect via 5044 to Mgt_Logstash,Traversal,
118,Mgt_Logstash,5040,5060,tcp,Mgt_RHEL_instances,Group,Mgt_RHEL_instances to connect via 5044 to Mgt_Logstash,Traversal,
